,CR_RESP_ID,CM_MENU_ID,MENU_RESP_DESC,MENU_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,SL_NO
282,4,700019,Dispatch Summary,977,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
283,17,1128,System Controls,978,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
284,17,217,Printers,979,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
285,17,219,Sequences,980,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
286,17,218,System Options,981,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
287,17,1005,Upgrade/Install,982,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
288,17,223,Import,983,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
289,17,226,System Log,984,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
290,17,227,Run A Process,985,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
291,17,228,Schedule Setup,986,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
292,17,1006,Login Audit,987,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
293,17,1007,Function Audit,988,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
294,17,229,Background Jobs,989,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
295,17,1008,Report Group,990,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
296,17,240,Profiles,991,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
297,17,250,Profile Values,992,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
298,17,260,Privileges,993,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
299,17,270,Granted Privileges,994,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
300,17,280,Terminals,995,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
301,17,290,Create Worklist,996,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
302,17,1001,User,997,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
303,17,1003,Functions,998,API,nan,I,nan,2015-10-02 18:51:13,2015-10-02 18:51:13,None,1.0
