,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
122,Y,Y,Y,8,7,None,37,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
123,Y,Y,Y,8,5,None,38,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
124,Y,Y,Y,8,6,None,39,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
125,Y,Y,Y,8,3,None,40,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
126,Y,Y,Y,8,4,None,41,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
127,Y,Y,Y,8,2,None,42,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
128,Y,Y,Y,8,9,None,43,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
129,Y,Y,Y,8,10,None,44,API,2.0,I,2.0,2010-11-28 18:41:10,2010-11-28 18:41:10,None
130,Y,Y,Y,20,18,None,63,API,2.0,I,2.0,2010-11-28 19:08:44,2010-11-28 19:08:44,None
131,Y,Y,Y,20,13,None,64,API,2.0,U,2.0,2012-03-26 16:11:09,2010-11-28 19:08:44,None
132,Y,Y,Y,20,12,None,65,API,2.0,U,2.0,2012-03-26 16:11:09,2010-11-28 19:08:44,None
133,Y,Y,Y,20,14,None,66,API,2.0,U,2.0,2012-03-26 16:11:09,2010-11-28 19:08:44,None
134,Y,Y,Y,20,2,None,67,API,2.0,U,2.0,2018-05-11 16:11:57,2010-11-28 19:08:44,None
135,Y,Y,Y,13,5,None,68,API,2.0,U,5.0,2011-09-29 08:05:14,2010-11-28 19:08:49,None
136,Y,Y,Y,13,13,None,69,API,2.0,I,2.0,2010-11-28 19:08:49,2010-11-28 19:08:49,None
137,Y,Y,Y,13,12,None,70,API,2.0,I,2.0,2010-11-28 19:08:49,2010-11-28 19:08:49,None
138,Y,Y,Y,13,14,None,71,API,2.0,I,2.0,2010-11-28 19:08:49,2010-11-28 19:08:49,None
139,Y,Y,Y,13,2,None,72,API,2.0,I,2.0,2010-11-28 19:08:49,2010-11-28 19:08:49,None
140,Y,Y,Y,65,20,None,527,API,29.0,I,29.0,2019-06-07 13:22:35,2019-06-07 13:22:35,None
141,Y,Y,Y,66,20,None,528,API,29.0,I,29.0,2019-06-07 14:02:45,2019-06-07 14:02:45,None
142,Y,Y,Y,64,20,None,526,API,29.0,I,29.0,2019-06-06 23:19:09,2019-06-06 23:19:09,None
143,N,N,Y,67,21,None,529,API,5.0,I,5.0,2019-06-10 15:02:50,2019-06-10 15:02:50,None
144,Y,Y,Y,72,5,None,533,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
145,Y,Y,Y,72,4,None,534,API,5.0,I,5.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
146,Y,Y,Y,72,7,None,535,API,5.0,I,5.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
147,Y,Y,Y,72,6,None,536,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
148,Y,Y,Y,72,3,None,537,API,2.0,I,2.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
149,Y,Y,Y,14,18,None,93,API,2.0,I,2.0,2010-11-28 19:09:28,2010-11-28 19:09:28,None
150,Y,Y,Y,14,13,None,94,API,2.0,I,2.0,2010-11-28 19:09:28,2010-11-28 19:09:28,None
