OBJECT_NAME,COLUMN_NAME,DATA_TYPE,DATA_WIDTH,DATA_PRECISION,DEFAULTVAL,NULLABLE,DATASOURCE
AP_OPTIONS,GRN_APPROVED_SUB_LOCATION,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_OPTIONS,BANK_ACCOUNT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINT_SUPPLIER_NOTE2,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINT_SUPPLIER_NOTE1,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINT_NOTE_CRITERIA,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,INVOICE_IMAGE_PATH,VARCHAR2,200,0,None,True,ORATECHCANNON
AP_OPTIONS,AUTO_BATCH_ON_GRN,VARCHAR2,1,0,'N' ,True,ORATECHCANNON
AP_OPTIONS,SUPPLIER_NUMBERING,VARCHAR2,30,0,'MANUAL' ,True,ORATECHCANNON
AP_OPTIONS,WHAT_PRICE_TO_PO,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_OPTIONS,PRINT_SPLIT_CASE,VARCHAR2,1,0,'N' ,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CONTACT_DETAILS,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,COUNTRY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,COUNTY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CITY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,POST_CODE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,ADDRESS,VARCHAR2,400,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,NAME_ON_CARD,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,SECURITY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,ISSUE_NUMBER,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,VALID_FROM,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,EXPIRY_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,AUTHORISATION_NUMBER,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CARD_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CARD_NUMBER,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_NUMBER,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,BANK_CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,BANK_ACCOUNT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,BANK_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,GL_ACCOUNTING_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,BU_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CREATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,CREATION_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_STATUS_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_STATUS,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PMNT_METHOD_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,DESCRIPTION,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,NOTES2,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,NOTES1,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,TRANS_CATEGORY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,BATCH_NAME,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,PAYMENT_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_PAYMENT_HEADERS,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
